m|sigma|e|k_ab|e_ab|mu|na|nb|inchi|smiles
11.314000129699707|3.8808999061584473|249.1121063232422|0.0|0.0|0.0|0.0|0.0|InChI=1S/C27H56/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-26-24-22-20-18-16-14-12-10-8-6-4-2/h3-27H2,1-2H3|CCCCCCCCCCCCCCCCCCCCCCCCCCC
3.6507999897003174|4.3007001876831055|299.1091003417969|0.0146|1813.7606|0.0|1.0|1.0|InChI=1S/C10H23N/c1-2-3-4-5-6-7-8-9-10-11/h2-11H2,1H3|CCCCCCCCCCN
8.413999557495117|3.8987998962402344|250.88560485839844|0.0|0.0|0.0|0.0|0.0|InChI=1S/C20H42/c1-3-5-7-9-11-13-15-17-19-20-18-16-14-12-10-8-6-4-2/h3-20H2,1-2H3|CCCCCCCCCCCCCCCCCCCC
3.9821999073028564|4.172999858856201|426.34600830078125|0.0|0.0|0.0|0.0|0.0|InChI=1S/C20H12/c1-2-8-16-15(7-1)17-9-3-5-13-11-12-14-6-4-10-18(16)20(14)19(13)17/h1-12H|c1ccc2c(c1)c1cccc3ccc4cccc2c4c31
6.29610013961792|4.075099945068359|394.6351013183594|0.0018|1782.5928|0.0|4.0|0.0|InChI=1S/C17H24N.C2F6NO4S2/c1-2-3-4-5-6-9-13-18-14-12-16-10-7-8-11-17(16)15-18;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h7-8,10-12,14-15H,2-6,9,13H2,1H3;/q+1;-1|CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
12.022199630737305|4.20989990234375|258.4201965332031|0.0004|4250.0719|0.0|1.0|0.0|InChI=1S/C32H68P.C4H8O2/c1-5-9-13-17-18-19-20-21-22-23-24-28-32-33(29-25-14-10-6-2,30-26-15-11-7-3)31-27-16-12-8-4;1-2-3-4(5)6/h5-32H2,1-4H3;2-3H2,1H3,(H,5,6)/q+1;/p-1|CCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC
2.0181000232696533|3.8361001014709473|393.04638671875|0.0197|2371.444|0.0|1.0|1.0|InChI=1S/C3H7NO/c1-3(5)4-2/h1-2H3,(H,4,5)|CN=C(C)O
4.499499797821045|4.4832000732421875|468.510986328125|0.0029|3753.9905|0.0|5.0|1.0|InChI=1S/C7H18NO.C2F6NO4S2/c1-4-5-8(2,3)6-7-9;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h9H,4-7H2,1-3H3;/q+1;-1|CCC[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
4.637599945068359|4.3607001304626465|414.3671875|0.0004|3402.1226|0.0|4.0|0.0|InChI=1S/C6H8N.CH4O4S/c1-7-5-3-2-4-6-7;1-5-6(2,3)4/h2-6H,1H3;1H3,(H,2,3,4)/q+1;/p-1|COS(=O)(=O)[O-].C[n+]1ccccc1
1.0983999967575073|3.925299882888794|128.72459411621094|0.0327|1331.5975|0.0|2.0|1.0|InChI=1S/C2H4O2/c3-1-2-4/h1,4H,2H2|O=CCO
